الأسم,الموديل,السعر,لون السيارة,نوع الوقود,أصل السيارة,رخصة السيارة,نوع الجير,الزجاج,قوة الماتور,عداد السيارة,عدد الركاب,وسيلة الدفع,معروضة,أصحاب سابقون,إضافات,طرف ثالث,التكميلي (جسم المركبة),المجموع,الدفع
هونداي i30,2008,55000.0,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,4+1,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1000,2340,
مرسيدس E270,2003,85000.0,أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2700,280,4+1,نقدا فقط,للبيع فقط,3,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1690,1488,3178,
هونداي سانتافيه,2014,133500.0,أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,34000,6+1,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,2337,3677,
مازدا 5,2010,85000.0,زيتي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,00,1+7,نقدا فقط,للبيع فقط,يد أولى,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1340,1488,2828,
داف lf.55.220.    مع باب خلفي,2009,125000.0,أبيض,ديزل,تجاري,نمرة صفراء,عادي,الكتروني,5985,................,2+1,نقدا فقط,للبيع فقط,صفر,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1690,2188,3878,
مازدا 323,1995,23000.0,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1800,123,4+1,نقدا فقط,للبيع فقط,4,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
وسادة حماية هوائية",670,500,1170,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
هونداي توسان,2006,59000.0,أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,5+1,نقدا فقط,للبيع فقط,4,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1033,2373,
كيا اوبتيما,2013,85000.0,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,100405,4+1,إمكانية التقسيط,للبيع فقط,ثانيه,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1488,2828,
,,,,,,,,,,,,,,,,,,,
هونداي توسان,2007,60000.0,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,00,4+1,نقدا فقط,للبيع فقط,4,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1050,2390,
سوبارو نملة,1983,8000.0,فيراني,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,٠٠٠,٤+١,نقدا فقط,للبيع فقط,٣,,670,500,1170,
دايو لانوس,2002,30000.0,ذهبي,بنزين,خصوصي,فلسطينية,اوتوماتيك,يدوي,1500,130000,4+1,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
مسجل CD
وسادة حماية هوائية",517,500,1017,
مرسيدس 220,1997,24000.0,أبيض,ديزل,عمومي,فلسطينية,اوتوماتيك,الكتروني,2200,شغال,٤+١,إمكانية التقسيط,للبيع أو التبديل,٥,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
فرش جلد",845,500,1345,
كيا سيراتو,2008,50000.0,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,100000,4+1,نقدا فقط,للبيع فقط,اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1000,2340,
اودي Q7,2009,205000.0,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3000,,6+1,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1690,3588,5278,
سكودا اوكتافيا,2005,40000.0,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,,,إمكانية التقسيط,للبيع فقط,,جنطات مغنيسيوم,1340,1000,2340,
,,,,,,,,,,,,,,,,,,,
اوبل استرا,2006,43000.0,خمري,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,,4+1,نقدا فقط,للبيع أو التبديل,3,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1340,1000,2340,
مرسيدس فيتو,1999,23000.0,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,2300,20000000,7+1,إمكانية التقسيط,للبيع أو التبديل,5,"مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",845,500,1345,
فولكسفاجن كرافيل,1998,35000.0,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,2500,00000,7+1,نقدا فقط,للبيع فقط,3,"مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",845,500,1345,
فولكسفاجن جولف,2006,63000.0,زيتي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,100000,,نقدا فقط,للبيع أو التبديل,2,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1103,2443,
فولكسفاجن باسات,2007,70000.0,أسود ميتالك,ديزل,عمومي,فلسطينية,اوتوماتيك,الكتروني,2000,10002,4+1,نقدا فقط,للبيع أو التبديل,4,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1226,2565,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
فولفو 2007,2007,230000.0,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2800,١٥٠٠٠,1+2,إمكانية التقسيط,للبيع أو التبديل,يد ثانيه,"مُكيّف
جهاز إنذار
مسجل CD",1690,4026,5715,
,,,,,,,,,,,,,,,,,,,
كيا برايد,2012,56000.0,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,75000,4+1,نقدا فقط,للبيع فقط,اولى,"مُكيّف
إغلاق مركزي
وسادة حماية هوائية",1035,1000,2035,
هونداي جيتس,2008,40000.0,أزرق سماوي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,,,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1035,1000,2035,
اودي 80,1986,15000.0,رمادي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,,4+1,نقدا فقط,للبيع فقط,يد 5,,670,500,1170,
سكودا اوكتافيا,2006,49000.0,رمادي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,185,4+1,إمكانية التقسيط,للبيع فقط,يد اولى,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1340,1000,2340,
سكودا اوكتافيا,2010,75000.0,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,100000,4+1,نقدا فقط,للبيع أو التبديل,يد ثالثة,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية",1340,1313,2653,
ميتسوبيشي ماجنوم,2001,13500.0,أزرق سماوي,ديزل,خصوصي,نمرة صفراء,اوتوماتيك,الكتروني,2500,,,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",845,500,1345,
,,,,,,,,,,,,,,,,,,,
بيجو 301,2014,63000.0,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,٥٧٠٠٠,,نقدا فقط,للبيع فقط,يد أولى,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1103,2443,
شفروليه اوبترا,2007,30000.0,ذهبي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,130000,4+1,إمكانية التقسيط,للبيع فقط,يد رابعة,"مُكيّف
إغلاق مركزي
جهاز إنذار
جنطات مغنيسيوم
وسادة حماية هوائية",1340,1000,2340,
اوبل زافيرا,2004,45000.0,سكني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1995,0012345,6x1,إمكانية التقسيط,للبيع فقط,3,"مُكيّف
إغلاق مركزي
مسجل CD
فتحة سقف
جنطات مغنيسيوم
وسادة حماية هوائية",1340,1000,2340,
,,,,,,,,,,,,,,,,,,,
فولكسفاجن طوارق,2007,160000.0,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3000,,,نقدا فقط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1690,2801,4490,
اوبل اسكونا,1985,13500.0,أخضر,بنزين,خصوصي,فلسطينية,عادي,يدوي,1200,,4+1,نقدا فقط,للبيع أو التبديل,,,517,500,1017,
بيجو 307,2007,41500.0,سكني,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,1600,136000,4+1,نقدا فقط,للبيع أو التبديل,يد اولى,"مُكيّف
إغلاق مركزي
مسجل CD
وسادة حماية هوائية",1340,1000,2340,
سكودا اوكتافيا,2014,110000.0,سكني,ديزل,تدريب سياقة,فلسطينية,عادي,الكتروني,1600,50000,4+1,نقدا فقط,للبيع فقط,يد ثانية,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1340,1926,3265,
سكودا اوكتافيا,2008,63000.0,أزرق,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,,1+٤,نقدا فقط,للبيع فقط,,,1340,1103,2443,
كيا ريو,2010,43000.0,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1500,0000000000,4+1,إمكانية التقسيط,للبيع أو التبديل,6,فرش جلد,1035,1000,2035,
هونداي افانتي,2006,37000.0,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,123,4+1,نقدا فقط,للبيع فقط,3,"مُكيّف
إغلاق مركزي
جهاز إنذار
جنطات مغنيسيوم",1340,1000,2340,
اوبل اسكونا,1984,12000.0,سكني,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,********,4+1,نقدا فقط,للبيع أو التبديل,********,"مسجل CD
جنطات مغنيسيوم",670,500,1170,
,,,,,,,,,,,,,,,,,,,
فولكسفاجن جولف,2005,60000.0,أسود ميتالك,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,,4+1,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1050,2390,
هونداي تيراكان,2007,65000.0,رصاصي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2900,90000,6+1,نقدا فقط,للبيع فقط,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فرش جلد
وسادة حماية هوائية",1690,1138,2828,
سكودا فيليسيا,1996,22000.0,أبيض,بنزين,خصوصي,فلسطينية,عادي,يدوي,1300,123456,1+1,نقدا فقط,للبيع فقط,نعم,"مسجل CD
وسادة حماية هوائية",517,500,1017,
هونداي ix35,2014,94500.0,عدة الوان,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,,نقدا فقط,للبيع فقط,0,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1654,2994,
فولكسفاجن بولو,2000,28000.0,كحلي,ديزل,تدريب سياقة,فلسطينية,عادي,الكتروني,1900,,,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",670,500,1170,
سوبارو عريض,1990,24000.0,رصاصي,بنزين,خصوصي,فلسطينية,اوتوماتيك,يدوي,1600,,٤+١,نقدا فقط,للبيع فقط,٥,مسجل CD,670,500,1170,
جييب Wrangler,2013,12345.0,بترولي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3600,82000,6+1,إمكانية التقسيط,للبيع أو التبديل,يد أولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1690,1000,2690,
كيا فورتي,2008,49700.0,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1000,2340,
فولكسفاجن جولف,2000,45000.0,أسود,بنزين,خصوصي,فلسطينية,عادي,يدوي,1400,200000,4+1,نقدا فقط,للبيع فقط,يد ثانيه,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
وسادة حماية هوائية",517,500,1017,
هونداي فيرنا,2006,35000.0,سكني,بنزين,تدريب سياقة,فلسطينية,عادي,الكتروني,1400,00000,4+1,نقدا فقط,للبيع فقط,1,"مُكيّف
مسجل CD
وسادة حماية هوائية",1035,1000,2035,
سكودا اوكتافيا,2015,125000.0,كحلي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,83000,4+1,نقدا فقط,للبيع فقط,مش منمرة,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1340,2188,3528,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
رينو R9,1983,4000.0,رصاصي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,١١١١١,١+٤,نقدا فقط,للبيع أو التبديل,٥,"مُكيّف
مسجل CD
فرش جلد",517,500,1017,
,,,,,,,,,,,,,,,,,,,
مرسيدس 200,1983,20000.0,بني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,200,6666,4+1,نقدا فقط,للبيع فقط,7,"إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",467,500,967,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
فولكسفاجن باسات,1999,35500.0,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,,4+1,إمكانية التقسيط,للبيع أو التبديل,يد 3,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",670,500,1170,
سكودا اوكتافيا,2015,114999.0,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,119,5+1,إمكانية التقسيط,للبيع أو التبديل,0,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1340,2013,3353,
سكودا اوكتافيا,2014,110000.0,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,25000,,نقدا فقط,للبيع فقط,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
وسادة حماية هوائية",1035,1926,2960,
هونداي توسان,2010,62000.0,أسود,ديزل,تجاري,فلسطينية,اوتوماتيك,الكتروني,1900,0000000,4+1,إمكانية التقسيط,للبيع فقط,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
وسادة حماية هوائية",1340,1085,2425,
سكودا اوكتافيا,2011,62000.0,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1600,400,4+1,نقدا فقط,للبيع أو التبديل,3,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1085,2425,
كيا برايد,2007,47000.0,أزرق,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,4+1,نقدا فقط,للبيع فقط,2,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1000,2340,
مرسيدس 220,1997,25000.0,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,2400,999999,4+1,نقدا فقط,للبيع فقط,9,,845,500,1345,
تويوتا كورولا,1998,35000.0,بنفسجي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,98000,4+1,نقدا فقط,للبيع فقط,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",670,500,1170,
اوبل زافيرا,2004,50000.0,سكني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1900,75000كيلو متر,6+1,إمكانية التقسيط,للبيع فقط,يد ثانيه,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1000,2340,
هونداي i30,2008,53000.0,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,4+1,نقدا فقط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1000,2340,
شفروليه اوبترا,2010,40000.0,جيشي,بنزين,تأجير,فلسطينية,اوتوماتيك,الكتروني,1600,,4+1,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1000,2340,
كيا برايد,2007,47000.0,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,880000,4+1,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1035,1000,2035,
اوبل فيكترا,1998,29000.0,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,١٢٠٠٧٦,١+٤,إمكانية التقسيط,للبيع أو التبديل,٦,"مُكيّف
إغلاق مركزي
مسجل CD
فتحة سقف
جنطات مغنيسيوم
وسادة حماية هوائية",670,500,1170,
مرسيدس 416,2004,11000.0,أبيض,ديزل,تجاري,فلسطينية,عادي,الكتروني,2500,25000,6+١,نقدا فقط,للبيع فقط,5,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1690,1000,2690,
اوبل استرا,2011,62000.0,رصاصي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,50000,4+1,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
مسجل CD",1340,1085,2425,
مرسيدس 207,1998,35000.0,أزرق,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2500,00000,5+1,إمكانية التقسيط,للبيع فقط,يد ثالثة,"مُكيّف
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",845,500,1345,
كيا سورينتو,2014,165000.0,أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,50000,6+1,نقدا فقط,للبيع فقط,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1690,2888,4578,
مرسيدس S500,2012,40000.0,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3000,30000,4+1,نقدا فقط,للبيع فقط,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1690,1000,2690,
اوبل استرا,2013,70000.0,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,1000,4+1,نقدا فقط,للبيع فقط,اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1340,1226,2565,
مرسيدس C200,2010,129000.0,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,,4+1,إمكانية التقسيط,للبيع أو التبديل,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,2258,3598,
,,,,,,,,,,,,,,,,,,,
جييب شيروكي,2014,275000.0,أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3000,57000,4+1,نقدا فقط,للبيع فقط,00,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1690,4813,6503,
مازدا 323,1995,32000.0,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1900,123,4+1,نقدا فقط,للبيع فقط,,"جهاز إنذار
مسجل CD
جنطات مغنيسيوم",670,500,1170,
اوبل زافيرا,2002,47000.0,كحلي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,135000,6+1,نقدا فقط,للبيع فقط,ثالثة,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية",670,500,1170,
كيا سول,2012,65000.0,أحمر,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,91 الف,4+1,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1138,2478,
فولكسفاجن جولف,2010,76000.0,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,٨٠٠٠٠,,نقدا فقط,للبيع فقط,يداولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
وسادة حماية هوائية",1340,1331,2670,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
سوبارو عريض,1985,18000.0,سكني,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,,4+1,نقدا فقط,للبيع فقط,يد ثانية,"مُكيّف
مسجل CD",670,500,1170,
فولفو FL 12,1997,50000.0,أبيض,ديزل,تجاري,فلسطينية,عادي,الكتروني,1800,,,نقدا فقط,للبيع فقط,,"مُكيّف
مسجل CD
فتحة سقف",670,500,1170,
فولكسفاجن كادي,2014,103000.0,أسود ميتالك,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,,4+1,نقدا فقط,للبيع أو التبديل,0,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1340,1803,3143,
,,,,,,,,,,,,,,,,,,,
مرسيدس 608,1982,25000.0,أبيض,ديزل,تجاري,فلسطينية,عادي,يدوي,3000,00000,,نقدا فقط,للبيع أو التبديل,,,845,500,1345,
فولكسفاجن ترانسبورتر,2004,55000.0,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1600,100000,1+7,إمكانية التقسيط,للبيع فقط,يد اولا,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1000,2340,
,,,,,,,,,,,,,,,,,,,
هونداي سانتافيه,2006,72000.0,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,22222222,6+1,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1690,1261,2950,
مرسيدس 230,2006,80000.0,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2500,,,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1690,1401,3090,
فولكسفاجن باسات,2009,65000.0,أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,4+1,نقدا فقط,للبيع فقط,يد أولى,"مُكيّف
إغلاق مركزي
مسجل CD
وسادة حماية هوائية",1340,1138,2478,
اوبل اسكونا,1984,11000.0,أزرق,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,,4+1,نقدا فقط,للبيع فقط,4,"مسجل CD
فرش جلد",670,500,1170,
فولكسفاجن بولو,2014,75000.0,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,,4+1,إمكانية التقسيط,للبيع فقط,يد ثانيه,,1035,1313,2348,
مرسيدس 814,1997,35000.0,أحمر,ديزل,تجاري,فلسطينية,عادي,الكتروني,2500,,2+1,إمكانية التقسيط,للبيع أو التبديل,3,مسجل CD,845,500,1345,
بي ام دبليو 325,2002,880000.0,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,2500,25000,4+1,إمكانية التقسيط,للبيع أو التبديل,5,"مُكيّف
إغلاق مركزي
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",845,7700,8545,
فولكسفاجن جولف,2014,110000.0,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,35000,4+1,نقدا فقط,للبيع فقط,يد أولى وكالة,"مُكيّف
إغلاق مركزي
مسجل CD
فتحة سقف
جنطات مغنيسيوم
وسادة حماية هوائية",1035,1926,2960,
فولكسفاجن باسات,2006,67000.0,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,110000,4+1,نقدا فقط,للبيع فقط,2,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
وسادة حماية هوائية",1340,1173,2513,
مرسيدس 220,1999,50000.0,خمري,ديزل,عمومي,فلسطينية,اوتوماتيك,الكتروني,2200,,,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",845,500,1345,
فولكسفاجن GTI,2011,120000.0,بترولي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,134000,4+1,نقدا فقط,للبيع فقط,يد خامسه,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,2100,3440,
فولكسفاجن توران,2012,94000.0,أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,6+1,إمكانية التقسيط,للبيع فقط,يد ثانية,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1340,1646,2985,
